Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal
1928-01-01,1,1928,8.46578333333333,1,903.75,21.166666666666668,0.8333333333333334,0.0,0.0,136.58333333333334,1062.25
1928-02-01,2,1928,8.473099999999997,1,902.5,21.333333333333332,1.6666666666666667,0.0,0.0,137.16666666666666,1062.5
1928-03-01,3,1928,8.474333333333329,1,901.25,21.5,2.5,0.0,0.0,137.75,1062.75
1928-04-01,4,1928,8.47933333333333,1,900.0,21.666666666666668,3.3333333333333335,0.0,0.0,138.33333333333334,1063.0
1928-05-01,5,1928,8.484574999999998,1,898.75,21.833333333333332,4.166666666666667,0.0,0.0,138.91666666666666,1063.25
1928-06-01,6,1928,8.486283333333331,1,897.5,22.0,5.0,0.0,0.0,139.5,1063.5
1928-07-01,7,1928,8.488849999999998,1,896.25,22.166666666666668,5.833333333333333,0.0,0.0,140.08333333333334,1063.75
1928-08-01,8,1928,8.49098333333333,1,895.0,22.333333333333332,6.666666666666667,0.0,0.0,140.66666666666666,1064.0
1928-09-01,9,1928,8.492224999999998,1,893.75,22.5,7.5,0.0,0.0,141.25,1064.25
1928-10-01,10,1928,8.492666666666663,1,892.5,22.666666666666668,8.333333333333334,0.0,0.0,141.83333333333334,1064.5
1928-11-01,11,1928,8.498108333333331,1,891.25,22.833333333333332,9.166666666666666,0.0,0.0,142.41666666666666,1064.75
1928-12-01,12,1928,8.506649999999999,1,890.0,23.0,10.0,0.0,0.0,143.0,1065.0
1929-01-01,1,1929,8.505566666666665,1,894.75,23.416666666666668,10.0,0.0,0.0,144.41666666666666,1071.6666666666667
1929-02-01,2,1929,8.499899999999998,1,899.5,23.833333333333332,10.0,0.0,0.0,145.83333333333334,1078.3333333333333
1929-03-01,3,1929,8.502866666666664,1,904.25,24.25,10.0,0.0,0.0,147.25,1085.0
1929-04-01,4,1929,8.499591666666664,1,909.0,24.666666666666668,10.0,0.0,0.0,148.66666666666666,1091.6666666666667
1929-05-01,5,1929,8.499141666666665,1,913.75,25.083333333333332,10.0,0.0,0.0,150.08333333333334,1098.3333333333333
1929-06-01,6,1929,8.496641666666665,1,918.5,25.5,10.0,0.0,0.0,151.5,1105.0
1929-07-01,7,1929,8.493999999999998,1,923.25,25.916666666666668,10.0,0.0,0.0,152.91666666666666,1111.6666666666667
1929-08-01,8,1929,8.493116666666666,1,928.0,26.333333333333332,10.0,0.0,0.0,154.33333333333334,1118.3333333333333
1929-09-01,9,1929,8.491591666666665,1,932.75,26.75,10.0,0.0,0.0,155.75,1125.0
1929-10-01,10,1929,8.492416666666665,1,937.5,27.166666666666668,10.0,0.0,0.0,157.16666666666666,1131.6666666666667
1929-11-01,11,1929,8.498108333333331,1,942.25,27.583333333333332,10.0,0.0,0.0,158.58333333333334,1138.3333333333333
1929-12-01,12,1929,8.492666666666663,1,947.0,28.0,10.0,0.0,0.0,160.0,1145.0
1930-01-01,1,1930,8.488999999999997,1,939.9166666666666,28.0,10.0,0.0,0.0,159.33333333333334,1137.3333333333333
1930-02-01,2,1930,8.49230833333333,1,932.8333333333334,28.0,10.0,0.0,0.0,158.66666666666666,1129.6666666666667
1930-03-01,3,1930,8.494441666666665,1,925.75,28.0,10.0,0.0,0.0,158.0,1122.0
1930-04-01,4,1930,8.493516666666663,1,918.6666666666666,28.0,10.0,0.0,0.0,157.33333333333334,1114.3333333333333
1930-05-01,5,1930,8.493299999999996,1,911.5833333333334,28.0,10.0,0.0,0.0,156.66666666666666,1106.6666666666667
1930-06-01,6,1930,8.495316666666664,1,904.5,28.0,10.0,0.0,0.0,156.0,1099.0
1930-07-01,7,1930,8.497149999999996,1,897.4166666666666,28.0,10.0,0.0,0.0,155.33333333333334,1091.3333333333333
1930-08-01,8,1930,8.499066666666662,1,890.3333333333334,28.0,10.0,0.0,0.0,154.66666666666666,1083.6666666666667
1930-09-01,9,1930,8.49973333333333,1,883.25,28.0,10.0,0.0,0.0,154.0,1076.0
